Variable,Value,Datatype
D,0.065,double
I_p,[6.38433760424369e-10 6.41944657249358e-10 6.45743621298573e-10 6.49840036385971e-10 6.54242384665416e-10 6.58958168447702e-10 6.63993833011379e-10 6.69354690843163e-10 6.75044847761008e-10 6.81067131391581e-10 6.87423022487625e-10 6.94112589586582e-10 7.01134427522844e-10 7.08485600317627e-10 7.16161588977056e-10 7.2415624473657e-10 7.32461748291278e-10 7.41068575554177e-10 7.49965470479645e-10 7.59139425485606e-10 7.685756699974e-10 7.78257667625257e-10 7.88167122468929e-10 7.98283995024971e-10 8.08586528146158e-10 8.19051283474826e-10 8.29653188740097e-10 8.40365596268631e-10 8.51160353021012e-10 8.62007882415824e-10 8.72877278155277e-10 8.83736410208177e-10 8.94552043047924e-10 9.05289966176617e-10 9.15915136898507e-10 9.26391835230284e-10 9.36683830759377e-10 9.46754561177733e-10 9.56567322134013e-10 9.66085467955453e-10 9.75272622699378e-10 9.8409290089742e-10 9.92511137258068e-10 1.00049312449119e-09 1.00800585831749e-09 1.01501778862287e-09 1.02149907561292e-09 1.02742184972194e-09 1.03276047392649e-09 1.0374918070151e-09 1.04159546626688e-09 1.04505408789854e-09 1.04785358354806e-09 1.04998339098002e-09 1.05143671711822e-09 1.05221077144038e-09 1.0523069877068e-09 1.05173123194114e-09 1.05049399453844e-09 1.04861056434361e-09 1.04610118252458e-09 1.04299117405846e-09 1.03931105465858e-09 1.03509661099434e-09 1.03038895209807e-09 1.02523452991127e-09 1.01968512700111e-09 1.01379780957354e-09 1.00763484402793e-09 1.00126357543423e-09 9.94756266472984e-10 9.88189895559037e-10 9.81645913071047e-10 9.75209954834151e-10 9.68971512248021e-10 9.63023558720912e-10 9.57462132358391e-10 9.52385875165864e-10 9.47895529352176e-10 9.44093391670456e-10 9.41082727096294e-10 9.38967143525933e-10 9.37849929570962e-10 9.37833357933547e-10 9.39017957262584e-10 9.41501755814751e-10 9.45379500671943e-10 9.50741856695013e-10 9.57674589820225e-10 9.66257739724153e-10 9.76564787293336e-10 9.88661822730362e-10 1.00260672050524e-09 1.01844832771656e-09 1.03622567275093e-09 1.05596720142592e-09 1.07769004805639e-09 1.10139934910027e-09 1.12708760720242e-09 1.15473411357454e-09 1.18430443670054e-09 1.21574998535546e-09 1.24900765384827e-09 1.28399955725877e-09 1.32063286421615e-09 1.35879973446952e-09 1.39837736811543e-09 1.43922817288313e-09 1.48120005531802e-09 1.52412684106502e-09 1.5678288287076e-09 1.61211348079985e-09 1.65677625480707e-09 1.70160157566174e-09 1.74636395055859e-09 1.79082922542037e-09 1.83475598123141e-09 1.87789706709324e-09 1.92000126547722e-09 1.96081508368916e-09 2.00008466407146e-09 2.03755780392693e-09 2.07298607459194e-09 2.10612702750618e-09 2.1367464735574e-09 2.16462082041828e-09 2.18953945107229e-09 2.21130712524309e-09 2.2297463840419e-09 2.24469993682168e-09 2.25603300801635e-09 2.26363562065298e-09 2.26742479228637e-09 2.26734661833071e-09 2.26337821717841e-09 2.25552951111735e-09 2.24384481690729e-09 2.22840421997154e-09 2.20932470651886e-09 2.18676102854611e-09 2.1609062776079e-09 2.13199214447366e-09 2.10028884335059e-09 2.06610468122502e-09 2.02978525508771e-09 1.99171226233888e-09 1.9523019125402e-09 1.91200293185763e-09 1.87129415504885e-09 1.83068170363285e-09 1.7906957529634e-09 1.75188689524548e-09 1.7148221101055e-09 1.68008035906267e-09 1.6482478251678e-09 1.61991282409173e-09 1.59566041803683e-09 1.57606676895241e-09 1.56169327259601e-09 1.55308051995009e-09 1.55074213730313e-09 1.55515856087731e-09 1.56677080615602e-09 1.58597429596758e-09 1.6131128148442e-09 1.64847266011972e-09 1.69227706259347e-09 1.74468095128834e-09 1.80576613782002e-09 1.87553699606968e-09 1.95391671221189e-09 2.04074417857401e-09 2.13577160230205e-09 2.23866289629277e-09 2.34899291534114e-09 2.46624759488107e-09 2.58982504308702e-09 2.71903762945636e-09 2.85311510429394e-09 2.9912087738585e-09 3.13239674529733e-09 3.27569024399707e-09 3.42004099364842e-09 3.56434963631544e-09 3.70747515616136e-09 3.8482452564196e-09 3.98546762473503e-09 4.11794200746759e-09 4.24447299893761e-09 4.36388343723304e-09 4.47502828419187e-09 4.57680885379797e-09 4.66818724065099e-09 4.74820078864202e-09 4.81597642967881e-09 4.8707447135372e-09 4.9118533428137e-09 4.93878002180124e-09 4.95114442505346e-09 4.94871909067775e-09 4.93143904513515e-09 4.89940997070183e-09 4.85291473387176e-09 4.79241810295543e-09 4.71856949601202e-09 4.63220361606354e-09 4.53433884927033e-09 4.4261733233457e-09 4.3090785478264e-09 4.18459058477644e-09 4.05439872785557e-09 3.92033169922519e-09 3.78434140713462e-09 3.64848434195059e-09 3.5149007244156e-09 3.38579155666154e-09 3.26339376342153e-09 3.14995364752545e-09 3.04769891952517e-09 2.9588095956688e-09 2.8853880907399e-09 2.82942886200344e-09 2.79278798694418e-09 2.77715308012252e-09 2.78401397267497e-09 2.81463459120186e-09 2.87002648050509e-09 2.9509244163809e-09 3.05776455001208e-09 3.19066551412591e-09 3.34941290269023e-09 3.53344751039095e-09 3.74185768531696e-09 3.97337610832757e-09 4.22638126553331e-09 4.49890382656502e-09 4.78863808113411e-09 5.09295852046088e-09 5.40894157901581e-09 5.73339247657122e-09 6.0628770215659e-09 6.3937581555388e-09 6.72223693569306e-09 7.04439757001695e-09 7.35625603804717e-09 7.65381175157938e-09 7.93310163507788e-09 8.19025593644963e-09 8.42155501681342e-09 8.6234863142813e-09 8.79280063305002e-09 8.92656687648648e-09 9.02222432268064e-09 9.07763153413539e-09 9.0911110008777e-09 9.06148863894477e-09 8.98812730451887e-09 8.87095353821283e-09 8.71047682418828e-09 8.50780073468787e-09 8.2646254316433e-09 7.9832411125102e-09 7.6665121161943e-09 7.31785154552974e-09 6.94118641350897e-09 6.54091347931021e-09 6.12184610503317e-09 5.68915263219916e-09 5.24828694606213e-09 4.80491206250354e-09 4.36481773398093e-09 3.93383322430474e-09 3.51773654406826e-09 3.12216156598421e-09 2.75250454944197e-09 2.41383169306849e-09 2.11078940049309e-09 1.84751898531682e-09 1.62757755442023e-09 1.45386679227589e-09 1.32857132175949e-09 1.25310823802819e-09 1.22808930113478e-09 1.25329713028594e-09 1.32767656891579e-09 1.44934218634998e-09 1.61560265081802e-09 1.82300245249123e-09 2.06738117729534e-09 2.34395023616907e-09 2.64738664452926e-09 2.9719431275551e-09 3.31157350385734e-09 3.66007197831357e-09 4.01122466041976e-09 4.35897132279798e-09 4.69757513192934e-09 5.02179782522525e-09 5.32707758108835e-09 5.60970663699705e-09 5.86700555996431e-09 6.09749096842147e-09 6.30103344867686e-09 6.47900240571581e-09 6.63439463980394e-09 6.77194354856414e-09 6.89820601959751e-09 7.02162430096286e-09 7.15256041443195e-09 7.30330100710447e-09 7.48803091706438e-09 7.72277415399694e-09 8.02530146040741e-09 8.41500411712541e-09 8.91273418082198e-09 9.54061188353663e-09 1.03218014760107e-08 1.12802573492912e-08 1.24404428129245e-08 1.38270244341001e-08 1.54645453403446e-08 1.73770813501102e-08 1.95878842114014e-08 2.21190165906449e-08 2.49909837535618e-08 2.82223671116844e-08 3.18294649643434e-08 3.58259458443913e-08 4.02225198692231e-08 4.50266334102978e-08 5.02421922169608e-08 5.58693178704767e-08 6.19041421005738e-08 6.83386430734115e-08 7.51605272642058e-08 8.23531599622261e-08 8.989554683306e-08 9.77623682863275e-08 1.05924067681969e-07 1.14346993661083e-07 1.22993596122723e-07 1.31822674594733e-07 1.40789676981394e-07 1.49847045920814e-07 1.58944609267032e-07 1.68030010533552e-07 1.7704917451182e-07 1.85946802717795e-07 1.94666892832168e-07 2.03153275893421e-07 2.11350164686365e-07 2.19202706545322e-07 2.26657533665896e-07 2.33663303995993e-07 2.40171225853678e-07 2.46135559598252e-07 2.51514089957841e-07 2.5626856298787e-07 2.60365082093732e-07 2.6377445809275e-07 2.66472508903881e-07 2.68440305131137e-07 2.69664358536244e-07 2.70136751167554e-07 2.69855203712319e-07 2.68823082456587e-07 2.67049345057877e-07 2.64548426148427e-07 2.61340064578602e-07 2.57449074868326e-07 2.52905066149738e-07 2.47742112544136e-07 2.41998379512693e-07 2.35715711244928e-07 2.28939184593661e-07 2.21716635426228e-07 2.14098163533037e-07 2.06135622415071e-07 1.97882100358959e-07 1.89391399204769e-07 1.80717517115248e-07 1.71914141475001e-07 1.63034157780312e-07 1.54129180042341e-07 1.45249107811869e-07 1.36441714461663e-07 1.27752270834191e-07 1.19223207791782e-07 1.10893820599269e-07 1.02800017438654e-07 9.49741137093181e-08 8.74446731186397e-08 8.0236395921525e-08 7.33700540390331e-08 6.68624721790034e-08 6.07265535077017e-08 5.49713478867975e-08 4.96021602007513e-08 4.46206958627343e-08 4.00252402064601e-08 3.58108681505535e-08 3.19696802638684e-08 2.84910611662617e-08 2.53619560692657e-08 2.25671611961511e-08 2.00896238168849e-08 1.79107476905589e-08 1.601069982073e-08 1.43687145954396e-08 1.29633915969644e-08 1.17729836232786e-08 1.07756717564179e-08 9.94982463810043e-09 9.27423946221406e-09 8.72836256237937e-09 8.29248785342301e-09 7.94793177251015e-09 7.67718375298741e-09 7.46403164554707e-09 7.29366187242267e-09 7.15273445547009e-09 7.02943339420818e-09 6.91349318096822e-09 6.7962025241507e-09 6.67038660428335e-09 6.53036940912073e-09 6.37191788175977e-09 6.19216976882283e-09 5.98954717372953e-09 5.76365790320263e-09 5.51518674402699e-09 5.24577882299437e-09 4.9579171873977e-09 4.65479669854632e-09 4.34019625863293e-09 4.01835129479581e-09 3.69382830582321e-09 3.37140314003515e-09 3.05594452011054e-09 2.75230416543908e-09 2.46521468796249e-09 2.19919625648368e-09 1.95847284020066e-09 1.74689865740772e-09 1.56789527280588e-09 1.42439960899964e-09 1.31882296693797e-09 1.25302098816746e-09 1.22827434070632e-09 1.24527977152385e-09 1.30415104329716e-09 1.40442916223522e-09 1.54510120799934e-09 1.72462699655694e-09 1.94097274225738e-09 2.19165083656498e-09 2.47376482730113e-09 2.78405866357013e-09 3.118969266931e-09 3.47468149820253e-09 3.84718461035524e-09 4.23232931036316e-09 4.62588459537357e-09 5.02359357985175e-09 5.42122758934182e-09 5.81463786163464e-09 6.19980426635963e-09 6.57288052782332e-09 6.93023551229726e-09 7.26849021845301e-09 7.58455018737144e-09 7.87563312516078e-09 8.13929160612611e-09 8.37343079630571e-09 8.57632120564244e-09 8.7466065411262e-09 8.88330679254783e-09 8.98581673643456e-09 9.05390009202371e-09 9.0876796054341e-09 9.0876233744258e-09 9.05452775614893e-09 8.98949722413996e-09 8.89392155859304e-09 8.76945076580536e-09 8.61796812888019e-09 8.44156179258857e-09 8.24249528103777e-09 8.02317733794676e-09 7.78613146615187e-09 7.53396552608532e-09 7.26934173266834e-09 6.99494736696567e-09 6.71346649340466e-09 6.42755294591828e-09 6.13980481745697e-09 5.85274065742028e-09 5.5687775510134e-09 5.29021122387921e-09 5.0191982848294e-09],double
I_s,[3.04121965262179e-10 3.25503081002504e-10 3.47906338159612e-10 3.71287098013591e-10 3.95596396363598e-10 4.2078097395897e-10 4.4678332396479e-10 4.73541757042391e-10 5.0099048457502e-10 5.29059720528173e-10 5.57675802370004e-10 5.86761331427402e-10 6.16235332982974e-10 6.4601343635519e-10 6.76008075123408e-10 7.06128707588178e-10 7.36282057467072e-10 7.6637237474518e-10 7.9630171649959e-10 8.25970247426407e-10 8.55276559693294e-10 8.84118011640323e-10 9.12391084737056e-10 9.39991758098692e-10 9.66815899744077e-10 9.92759673663604e-10 1.0177199616478e-09 1.04159479869879e-09 1.06428382073543e-09 1.085688723171e-09 1.1057137288266e-09 1.12426606351634e-09 1.14125643752452e-09 1.15659953107347e-09 1.17021448176821e-09 1.18202537188922e-09 1.19196171330025e-09 1.19995892763411e-09 1.2059588193254e-09 1.20991003896832e-09 1.21176853439875e-09 1.2114979868272e-09 1.20907022928726e-09 1.20446564461282e-09 1.19767354011843e-09 1.18869249612921e-09 1.17753068549507e-09 1.16420616122276e-09 1.14874710937873e-09 1.13119206444567e-09 1.11159008436818e-09 1.09000088258672e-09 1.06649491444971e-09 1.04115341549451e-09 1.01406838921566e-09 9.85342542080771e-10 9.5508916372375e-10 9.23431950427757e-10 8.90504770220353e-10 8.56451368128231e-10 8.21425010394644e-10 7.85588066724615e-10 7.49111529924298e-10 7.12174472599957e-10 6.74963440924539e-10 6.37671785819772e-10 6.00498932275634e-10 5.63649587904463e-10 5.27332892236248e-10 4.91761508664184e-10 4.57150661379452e-10 4.23717120069393e-10 3.91678135590722e-10 3.61250330285999e-10 3.3264854705645e-10 3.06084661761879e-10 2.81766363965181e-10 2.59895911489681e-10 2.40668864690094e-10 2.24272806768841e-10 2.10886056875031e-10 2.006763831227e-10 1.93799723030305e-10 1.90398919230876e-10 1.90602478615715e-10 1.94523363356804e-10 2.0225782249534e-10 2.13884272986068e-10 2.29462239243643e-10 2.49031360342926e-10 2.72610474079587e-10 3.0019678709306e-10 3.31765140189307e-10 3.67267377876073e-10 4.06631830922228e-10 4.49762920494185e-10 4.96540892080648e-10 5.46821687009174e-10 6.00436958861605e-10 6.5719424153947e-10 7.16877275074444e-10 7.79246494563845e-10 8.44039686796202e-10 9.10972818258262e-10 9.79741037248739e-10 1.05001985179303e-09 1.12146648393831e-09 1.19372139983845e-09 1.26641001378631e-09 1.33914456306089e-09 1.41152614908144e-09 1.48314693897118e-09 1.55359252017831e-09 1.62244439932085e-09 1.68928263493333e-09 1.75368859225237e-09 1.81524780668805e-09 1.87355294109283e-09 1.92820682046715e-09 1.97882552627007e-09 2.02504153110429e-09 2.06650685318859e-09 2.10289620876347e-09 2.13391013938667e-09 2.1592780900046e-09 2.1787614127271e-09 2.19215627042031e-09 2.19929641356299e-09 2.20005580332354e-09 2.19435105350108e-09 2.18214366386597e-09 2.16344201753838e-09 2.1383031153751e-09 2.10683402090843e-09 2.06919299020297e-09 2.02559026208325e-09 1.97628848554429e-09 1.92160276278909e-09 1.86190028826034e-09 1.79759956622777e-09 1.72916919199709e-09 1.65712618456632e-09 1.58203386162075e-09 1.50449925107021e-09 1.42517003693409e-09 1.34473104119487e-09 1.26390024731859e-09 1.18342437538861e-09 1.10407402327665e-09 1.02663839285669e-09 9.51919625017678e-10 8.80726772022608e-10 8.13869440653684e-10 7.52151144422334e-10 6.96362407969365e-10 6.47273671501637e-10 6.05628047705387e-10 5.72133987970197e-10 5.47457918884843e-10 5.32216913789361e-10 5.26971467604695e-10 5.32218446168233e-10 5.4838428380241e-10 5.75818504786814e-10 6.14787645725151e-10 6.65469656435915e-10 7.27948856903457e-10 8.02211526939715e-10 8.8814220350202e-10 9.85520757998991e-10 1.0940203224369e-09 1.21320612879707e-09 1.34253532064828e-09 1.48135778960986e-09 1.62891808195909e-09 1.78435841236731e-09 1.94672281251956e-09 2.11496243225252e-09 2.28794199984392e-09 2.46444743634084e-09 2.64319460632637e-09 2.82283917444484e-09 3.00198752338154e-09 3.17920867502128e-09 3.35304714224067e-09 3.52203662446862e-09 3.68471444579337e-09 3.83963662038343e-09 3.98539341628457e-09 4.12062527562559e-09 4.24403893699175e-09 4.35442359449624e-09 4.4506669180461e-09 4.53177075070069e-09 4.59686629203141e-09 4.64522857126944e-09 4.67629001088586e-09 4.68965288033681e-09 4.68510044113638e-09 4.66260658837749e-09 4.62234380039447e-09 4.56468921757254e-09 4.49022868340657e-09 4.39975859584835e-09 4.29428543474161e-09 4.17502285168827e-09 4.04338623194797e-09 3.90098466382545e-09 3.74961027924855e-09 3.59122495971403e-09 3.42794443417645e-09 3.26201982952876e-09 3.09581676964124e-09 2.93179215518278e-09 2.77246879314026e-09 2.62040808167606e-09 2.47818099213679e-09 2.34833762520082e-09 2.23337565170102e-09 2.1357079800971e-09 2.05763002120994e-09 2.00128694622206e-09 1.96864135540671e-09 1.96144179211525e-09 1.98119254865082e-09 2.02912521731556e-09 2.10617244071256e-09 2.21294430992679e-09 2.34970784716945e-09 2.51636999065444e-09 2.71246447368378e-09 2.93714295716259e-09 3.18917073498625e-09 3.46692728524201e-09 3.76841188706619e-09 4.09125446381128e-09 4.4327317482734e-09 4.78978879588697e-09 5.15906579761085e-09 5.53693006667886e-09 5.91951299325665e-09 6.30275167970438e-09 6.68243488734528e-09 7.05425284493016e-09 7.41385039055284e-09 7.75688284381265e-09 8.07907393517079e-09 8.37627505582384e-09 8.64452503552314e-09 8.88010960884042e-09 9.07961969377273e-09 9.24000758135032e-09 9.35864012222175e-09 9.4333479968842e-09 9.46247017118357e-09 9.44489266840252e-09 9.38008083416496e-09 9.26810433063249e-09 9.10965417200954e-09 8.90605120387315e-09 8.65924553371526e-09 8.37180653851139e-09 8.04690320591911e-09 7.68827470753556e-09 7.30019125381076e-09 6.88740543875679e-09 6.45509444652227e-09 6.00879365859157e-09 5.55432236752693e-09 5.0977024678335e-09 4.64507115409814e-09 4.20258880782131e-09 3.77634339464093e-09 3.372252819711e-09 2.99596679824929e-09 2.65276988758858e-09 2.34748739408917e-09 2.08439591048336e-09 1.86714025458928e-09 1.69865856688998e-09 1.58111728104968e-09 1.51585760686468e-09 1.50335505903263e-09 1.54319342738044e-09 1.63405441544862e-09 1.77372397562266e-09 1.9591161420591e-09 2.1863149096936e-09 2.45063443152733e-09 2.74669751051402e-09 3.06853205071665e-09 3.40968480925525e-09 3.76335146102526e-09 4.1225216571634e-09 4.48013743175296e-09 4.82926299456859e-09 5.16326364723099e-09 5.47599128154506e-09 5.76197366813556e-09 6.01660452643743e-09 6.23633118914824e-09 6.41883654037793e-09 6.56321182155014e-09 6.67011686644234e-09 6.74192434989765e-09 6.78284471595625e-09 6.79902859196116e-09 6.79864369607016e-09 6.79192350596762e-09 6.79118527483481e-09 6.81081535403992e-09 6.86722020675004e-09 6.97874196783406e-09 7.16553791707126e-09 7.44942377787757e-09 7.85368132473163e-09 8.40283137051966e-09 9.1223738010172e-09 1.00384969176821e-08 1.11777589319711e-08 1.2566745013809e-08 1.42317038236981e-08 1.61981679417113e-08 1.84905630379954e-08 2.11318109982883e-08 2.41429325174074e-08 2.75426548942985e-08 3.13470309001305e-08 3.55690746374057e-08 4.02184202647315e-08 4.53010093204402e-08 5.0818812143592e-08 5.67695885610539e-08 6.31466925873495e-08 6.99389253767724e-08 7.71304400770961e-08 8.47007015736087e-08 9.26245033849648e-08 1.00872043194628e-07 1.09409057680722e-07 1.18197016458811e-07 1.27193374086634e-07 1.36351878215702e-07 1.45622931121188e-07 1.54954001017434e-07 1.64290078781322e-07 1.73574174977763e-07 1.82747851420307e-07 1.91751780917723e-07 2.00526328364897e-07 2.09012145943958e-07 2.1715077491438e-07 2.24885246295445e-07 2.32160672685804e-07 2.38924823522255e-07 2.45128676255272e-07 2.50726936208907e-07 2.55678518293244e-07 2.5994698424169e-07 2.63500929647467e-07 2.6631431576079e-07 2.68366741771857e-07 2.69643654130828e-07 2.70136490332369e-07 2.69842755503581e-07 2.68766031066425e-07 2.66915915683265e-07 2.64307899622604e-07 2.60963174586584e-07 2.56908381907105e-07 2.52175302832519e-07 2.46800495376641e-07 2.40824882877164e-07 2.34293300001271e-07 2.27254002433389e-07 2.19758146878947e-07 2.11859248312011e-07 2.0361262158273e-07 1.95074814579903e-07 1.86303040118474e-07 1.77354613589232e-07 1.68286403179257e-07 1.59154299143657e-07 1.50012708201314e-07 1.40914078634532e-07 1.31908461115864e-07 1.23043109667902e-07 1.14362126499536e-07 1.05906153762688e-07 9.77121145518793e-08 8.98130047346192e-08 8.2237736468298e-08 7.50110335352034e-08 6.81533779286334e-08 6.16810064538903e-08 5.56059554814068e-08 4.99361514117973e-08 4.46755438909396e-08 3.98242783542125e-08 3.53789040866249e-08 3.13326136632429e-08 2.76755093841522e-08 2.43948921412423e-08 2.14755680491668e-08 1.89001681401438e-08 1.66494764567502e-08 1.47027619774146e-08 1.3038109969606e-08 1.16327485821335e-08 1.0463366753039e-08 9.50641981864894e-09 8.73841955425561e-09 8.13620575208183e-09 7.67719683918141e-09 7.33961745096904e-09 7.10270129737067e-09 6.94686808182177e-09 6.85387365214951e-09 6.80693297055515e-09 6.79081588233927e-09 6.79191603444235e-09 6.79829364118657e-09 6.79969311198261e-09 6.78753684122261e-09 6.75489671169531e-09 6.69644507792258e-09 6.6083871737457e-09 6.4883770288395e-09 6.33541908173209e-09 6.14975774309447e-09 5.93275719369147e-09 5.68677369819192e-09 5.41502268100746e-09 5.12144274602443e-09 4.81055873100707e-09 4.48734577279314e-09 4.15709622392976e-09 3.82529110871647e-09 3.49747763959027e-09 3.17915413695597e-09 2.87566351001435e-09 2.59209626594765e-09 2.33320382311705e-09 2.10332271328785e-09 1.90631007115527e-09 1.7454906287939e-09 1.6236152603777e-09 1.54283096033425e-09 1.50466198775164e-09 1.5100017725771e-09 1.55911505604077e-09 1.65164962955582e-09 1.78665694362303e-09 1.96262078129688e-09 2.17749312950438e-09 2.42873633586863e-09 2.71337060816388e-09 3.02802589766773e-09 3.3689972055781e-09 3.73230236265917e-09 4.11374135514936e-09 4.50895630381114e-09 4.9134912465478e-09 5.322850927022e-09 5.73255785109508e-09 6.13820693818117e-09 6.53551716473944e-09 6.92037967066602e-09 7.28890187535014e-09 7.63744722721802e-09 7.96267028788774e-09 8.26154692828426e-09 8.53139948870367e-09 8.76991682655921e-09 8.97516924405769e-09 9.14561835239669e-09 9.2801219888918e-09 9.37793435813708e-09 9.43870161761276e-09 9.46245317173583e-09 9.44958897610805e-09 9.40086318548443e-09 9.31736450481161e-09 9.20049362260269e-09 9.05193812008897e-09 8.87364525818394e-09 8.66779304760476e-09 8.43676000576315e-09 8.18309399771751e-09 7.90948054776618e-09 7.61871099377851e-09 7.3136508383197e-09 6.99720862964632e-09 6.67230568202209e-09 6.3418469190647e-09 6.00869309638047e-09 5.6756346310559e-09 5.34536723595006e-09 5.02046952672249e-09 4.70338273934781e-09],double
